CURVENO,SUBMU,FU,SI,AC10,PW,PR,PJ,SB,SW,BF,CE,OC,HE,PO,PB,BW,MH,QR,YB,OH
7,3e,PW1,Prsnt,15,2.61,0.14,0.32,0.33,1.34,0.28,0.38,0.00,0.00,0.46,0.00,0.82,0.00,0.00,0.00,0.02
7,3e,PW1,Prsnt,25,8.67,0.46,0.92,1.21,3.61,1.00,0.61,0.00,0.00,1.60,0.00,2.79,0.00,0.00,0.00,0.06
7,3e,PW1,Prsnt,35,17.91,0.95,1.69,2.24,5.97,1.81,0.80,0.00,0.00,3.28,0.00,5.78,0.00,0.00,0.00,0.13
7,3e,PW1,Prsnt,45,29.45,1.57,2.53,3.04,7.94,2.39,0.95,0.00,0.00,5.24,0.00,9.45,0.00,0.00,0.00,0.21
7,3e,PW1,Prsnt,55,42.23,2.27,3.34,3.55,9.40,2.73,1.06,0.00,0.00,7.20,0.00,13.41,0.00,0.00,0.00,0.30
7,3e,PW1,Prsnt,65,55.31,3.00,4.08,3.87,10.41,2.93,1.14,0.00,0.00,8.93,0.00,17.34,0.00,0.00,0.00,0.38
7,3e,PW1,Prsnt,75,68.03,3.73,4.70,4.10,11.13,3.06,1.19,0.00,0.00,10.34,0.00,21.02,0.00,0.00,0.00,0.47
7,3e,PW1,Prsnt,85,80.00,4.45,5.20,4.27,11.65,3.14,1.22,0.00,0.00,11.40,0.00,24.33,0.00,0.00,0.00,0.55
7,3e,PW1,Prsnt,95,91.01,5.14,5.57,4.42,12.05,3.19,1.23,0.00,0.00,12.14,0.00,27.22,0.00,0.00,0.00,0.62
7,3e,PW1,Prsnt,105,100.94,5.79,5.82,4.54,12.39,3.21,1.23,0.00,0.00,12.60,0.00,29.69,0.00,0.00,0.00,0.68
7,3e,PW1,Prsnt,115,109.74,6.42,5.96,4.64,12.68,3.23,1.22,0.00,0.00,12.83,0.00,31.75,0.00,0.00,0.00,0.74
7,3e,PW1,Prsnt,125,117.41,7.01,6.00,4.73,12.94,3.23,1.21,0.00,0.00,12.89,0.00,33.43,0.00,0.00,0.00,0.79
7,3e,PW1,Prsnt,135,123.98,7.56,5.94,4.82,13.18,3.23,1.18,0.00,0.00,12.82,0.00,34.76,0.00,0.00,0.00,0.84
7,3e,PW1,Prsnt,145,129.47,8.07,5.81,4.90,13.41,3.22,1.16,0.00,0.00,12.65,0.00,35.79,0.00,0.00,0.00,0.88
7,3e,PW1,Prsnt,155,133.95,8.55,5.62,4.98,13.63,3.20,1.12,0.00,0.00,12.42,0.00,36.54,0.00,0.00,0.00,0.91
7,3e,PW1,Prsnt,165,137.48,9.00,5.37,5.06,13.83,3.18,1.08,0.00,0.00,12.14,0.00,37.06,0.00,0.00,0.00,0.94
7,3e,PW1,Prsnt,175,140.13,9.41,5.10,5.13,14.03,3.16,1.04,0.00,0.00,11.82,0.00,37.37,0.00,0.00,0.00,0.96
7,3e,PW1,Prsnt,185,141.96,9.79,4.80,5.19,14.22,3.13,1.00,0.00,0.00,11.49,0.00,37.51,0.00,0.00,0.00,0.98
7,3e,PW1,Prsnt,195,143.06,10.13,4.49,5.26,14.39,3.10,0.96,0.00,0.00,11.14,0.00,37.50,0.00,0.00,0.00,0.99
7,3e,PW1,Prsnt,205,143.49,10.45,4.17,5.32,14.56,3.07,0.91,0.00,0.00,10.79,0.00,37.36,0.00,0.00,0.00,1.00
7,3e,PW1,Prsnt,215,143.32,10.74,3.85,5.38,14.72,3.03,0.87,0.00,0.00,10.43,0.00,37.12,0.00,0.00,0.00,1.00
7,3e,PW1,Prsnt,225,142.61,11.00,3.54,5.43,14.87,2.99,0.82,0.00,0.00,10.08,0.00,36.78,0.00,0.00,0.00,1.00
7,3e,PW1,Prsnt,235,141.45,11.24,3.24,5.48,15.01,2.95,0.77,0.00,0.00,9.72,0.00,36.37,0.00,0.00,0.00,1.00
7,3e,PW1,Prsnt,245,139.87,11.45,2.95,5.52,15.14,2.91,0.73,0.00,0.00,9.37,0.00,35.90,0.00,0.00,0.00,0.99
7,3e,PW1,Prsnt,255,137.95,11.64,2.68,5.57,15.26,2.86,0.69,0.00,0.00,9.02,0.00,35.37,0.00,0.00,0.00,0.98
8,patnt,PW1,Prsnt,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,patnt,PW1,Prsnt,15,2.92,0.13,0.15,0.32,1.16,0.27,0.37,0.00,0.00,0.45,0.00,0.72,0.00,0.00,0.00,0.01
8,patnt,PW1,Prsnt,25,9.67,0.44,0.44,1.16,3.10,0.96,0.59,0.00,0.00,1.54,0.00,2.42,0.00,0.00,0.00,0.03
8,patnt,PW1,Prsnt,35,19.90,0.92,0.81,2.16,5.11,1.74,0.77,0.00,0.00,3.16,0.00,4.99,0.00,0.00,0.00,0.06
