CURVENO,SUBMU,FU,SI,AC10,PW,PR,PJ,SB,SW,BF,CE,OC,HE,PO,PB,BW,MH,QR,YB,OH
83,5e,PJ1,Basc1,15,0.01,4.59524189005275e-03,0.86,9.67068877784795e-03,0.00,0.00,0.00,0.00,0.00,0.02,0.00,3.42977099008482e-03,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,25,0.14,0.05,8.18,0.11,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.03,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,35,0.54,0.19,27.81,0.40,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.14,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,45,1.17,0.42,54.45,0.72,0.00,0.00,0.00,0.00,0.00,2.27,0.00,0.32,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,55,1.77,0.64,75.67,0.88,0.00,0.00,0.00,0.00,0.00,3.28,0.00,0.47,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,65,2.18,0.79,86.49,0.90,0.00,0.00,0.00,0.00,0.00,3.81,0.00,0.58,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,75,2.43,0.89,90.27,0.86,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.63,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,85,2.59,0.96,90.48,0.82,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.66,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,95,2.68,1.01,88.40,0.77,0.00,0.00,0.00,0.00,0.00,3.88,0.00,0.68,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,105,2.72,1.05,84.58,0.72,0.00,0.00,0.00,0.00,0.00,3.68,0.00,0.68,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,115,2.72,1.06,79.41,0.68,0.00,0.00,0.00,0.00,0.00,3.44,0.00,0.66,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,125,2.67,1.06,73.31,0.63,0.00,0.00,0.00,0.00,0.00,3.17,0.00,0.64,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,135,2.58,1.05,66.63,0.59,0.00,0.00,0.00,0.00,0.00,2.89,0.00,0.61,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,145,2.47,1.03,59.69,0.55,0.00,0.00,0.00,0.00,0.00,2.62,0.00,0.58,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,155,2.34,1.00,52.76,0.51,0.00,0.00,0.00,0.00,0.00,2.35,0.00,0.54,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,165,2.19,0.96,46.06,0.47,0.00,0.00,0.00,0.00,0.00,2.09,0.00,0.50,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,175,2.03,0.91,39.76,0.44,0.00,0.00,0.00,0.00,0.00,1.85,0.00,0.45,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,185,1.86,0.86,33.95,0.40,0.00,0.00,0.00,0.00,0.00,1.63,0.00,0.41,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,195,1.70,0.80,28.70,0.37,0.00,0.00,0.00,0.00,0.00,1.43,0.00,0.37,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,205,1.53,0.75,24.04,0.33,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.34,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,215,1.38,0.69,19.96,0.30,0.00,0.00,0.00,0.00,0.00,1.09,0.00,0.30,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,225,1.23,0.63,16.43,0.27,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.26,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,235,1.09,0.58,13.42,0.25,0.00,0.00,0.00,0.00,0.00,0.81,0.00,0.23,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,245,0.95,0.52,10.89,0.22,0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.20,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,255,0.83,0.47,8.77,0.20,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.18,0.00,0.00,0.00,0.00
84,5e,PJ1,Intn1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84,5e,PJ1,Intn1,15,0.01,4.59524189005275e-03,0.86,9.67068877784795e-03,0.00,0.00,0.00,0.00,0.00,0.02,0.00,3.42977099008482e-03,0.00,0.00,0.00,0.00
84,5e,PJ1,Intn1,25,0.14,0.05,8.18,0.11,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.03,0.00,0.00,0.00,0.00
84,5e,PJ1,Intn1,35,0.54,0.19,27.81,0.40,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.14,0.00,0.00,0.00,0.00
84,5e,PJ1,Intn1,45,1.17,0.42,54.45,0.72,0.00,0.00,0.00,0.00,0.00,2.27,0.00,0.32,0.00,0.00,0.00,0.00
84,5e,PJ1,Intn1,55,1.77,0.64,75.67,0.88,0.00,0.00,0.00,0.00,0.00,3.28,0.00,0.47,0.00,0.00,0.00,0.00
84,5e,PJ1,Intn1,65,2.18,0.79,86.49,0.90,0.00,0.00,0.00,0.00,0.00,3.81,0.00,0.58,0.00,0.00,0.00,0.00
84,5e,PJ1,Intn1,75,2.43,0.89,90.27,0.86,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.63,0.00,0.00,0.00,0.00
84,5e,PJ1,Intn1,85,2.59,0.96,90.48,0.82,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.66,0.00,0.00,0.00,0.00
84,5e,PJ1,Intn1,95,2.68,1.01,88.40,0.77,0.00,0.00,0.00,0.00,0.00,3.88,0.00,0.68,0.00,0.00,0.00,0.00
84,5e,PJ1,Intn1,105,2.72,1.05,84.58,0.72,0.00,0.00,0.00,0.00,0.00,3.68,0.00,0.68,0.00,0.00,0.00,0.00
84,5e,PJ1,Intn1,115,2.72,1.06,79.41,0.68,0.00,0.00,0.00,0.00,0.00,3.44,0.00,0.66,0.00,0.00,0.00,0.00
